"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Buxus",2628,"NA","NA","NA","NA","NA","NA"
"Buxaceae",2629,"NA","NA","NA","NA","NA","NA"
"Unknown (diporate)",2630,"NA","NA","NA","NA","NA","NA"
"cf. Celtis",2631,"NA","NA","NA","NA","NA","TRUE"
"cf. Vitis",2632,"NA","NA","NA","NA","NA","NA"
"Smilacina trifolia-type",2633,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Spike tablets",2635,"NA","NA","NA","NA","NA","NA"
"Potentilla cf. P. palustris",2637,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Sassafras albidum",2638,"NA","NA","NA","NA","NA","NA"
"Sassafras",2639,"NA","NA","NA","NA","NA","NA"
"Lauraceae",2640,"NA","NA","NA","NA","NA","NA"
"Huperzia undiff.",2641,"NA","NA","NA","NA","NA","NA"
"Huperzia",2642,"NA","NA","NA","NA","NA","NA"
"Cassiope-type",2643,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Unknown (Tertiary)",2644,"NA","NA","NA","NA","NA","NA"
"cf. Oxalis",2645,"NA","NA","NA","NA","NA","NA"
"Cladium undiff.",2646,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"cf. Physalis",2647,"NA","NA","NA","NA","NA","NA"
"Rumex cf. R. acetosella",2648,"NA","NA","RUMEX","RUMEOXYR","NA","NA"
"Tidestromia lanuginosa",2649,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Abies nordmanniana",2651,"Abies","Abies","ABIES","ABIES","NA","NA"
"Aster",2652,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Athyrium alpestre",2653,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Athyrium alpestre-type",2654,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Castanea sativa",2657,"NA","Castanea","CASTANEA","CASTANEA","NA","NA"
"Cichorium",2658,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Cichorium-type",2659,"Prairie Forbs","Asteraceae","ASTERCICHO","ASTERX","NA","NA"
"Cryptogramma crispa",2660,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Diphasiastrum",2661,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Diphasiastrum-type",2662,"NA","NA","NA","NA","TRUE","NA"
"Fagus orientalis",2663,"Fagus","Fagus","FAGUS","FAGUS","NA","NA"
"Juglans regia",2664,"Juglans","Juglans","JUGLANSX","JUGLANSX","NA","NA"
"Picea orientalis",2665,"Picea","Picea","PICEAX","PICEAX","NA","NA"
"Pterocarya pterocarpa",2666,"NA","NA","JUGLANSX","JUGLANSX","NA","NA"
"Pterocarya",2667,"NA","NA","JUGLANSX","JUGLANSX","NA","NA"
"Mertensia-type",2668,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Lagotis glauca",2669,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Lesquerella",2670,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Douglasia",2671,"NA","NA","NA","NA","NA","NA"
"Cnidium",2672,"NA","Minor Forbs","NA","NA","NA","NA"
"Dryopteris campyloptera",2673,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Corylus undiff.",2674,"Corylus","Corylus","CORYLUS","CORYLUS","NA","NA"
"Blechnum",2675,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Blechnaceae",2676,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Hippophae",2677,"NA","NA","ELAEAGNX","ELAEAGNX","NA","NA"
"Laurocerasus",2678,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Selaginella helvetica",2679,"NA","NA","SELAGINE","SELAGINE","NA","NA"
"Daphne",2680,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Oreopteris limbosperma",2681,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Thelypteridaceae",2682,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Hedera",2684,"NA","NA","NA","NA","NA","NA"
"Knautia",2685,"NA","NA","NA","NA","NA","NA"
"Polypodium cambricum",2686,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pteris cretica",2688,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Trachomitum",2689,"NA","NA","NA","NA","NA","NA"
"Trapa",2690,"NA","NA","NA","NA","NA","NA"
"Zelkova",2692,"NA","NA","URTICACX","URTICACX","NA","NA"
"Asperula",2693,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Banksia",2695,"NA","NA","NA","NA","NA","NA"
"Billardiera scandens",2696,"NA","NA","NA","NA","NA","NA"
"Billardiera",2697,"NA","NA","NA","NA","NA","NA"
"Pittosporaceae",2698,"NA","NA","NA","NA","NA","NA"
"Bulbinopsis-type",2699,"NA","NA","NA","NA","NA","NA"
"Callitris",2700,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Caryophyllaceae cf. Stellaria pungens",2701,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Casuarina (<23 µm)",2702,"NA","NA","NA","NA","NA","NA"
"Casuarina (>23 µm)",2703,"NA","NA","NA","NA","NA","NA"
"Casuarina",2704,"NA","NA","NA","NA","NA","NA"
"cf. Astelia",2705,"NA","NA","NA","NA","NA","NA"
"Comesperma",2706,"NA","NA","NA","NA","NA","NA"
"Culcita",2707,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Dianella-type",2708,"NA","NA","NA","NA","NA","NA"
"Dicksonia",2709,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Epacris-type",2710,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Ericaceae tribe Epacrideae",2711,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Eucalyptus (type 13)",2712,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 13/18) undiff.",2713,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 14)",2714,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 18)",2715,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 25)",2716,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 26)",2717,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 27)",2718,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 30)",2719,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 30a)",2720,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 8)",2721,"NA","NA","NA","NA","NA","NA"
"Exocarpos",2722,"NA","NA","NA","NA","NA","NA"
"Goodeniaceae",2723,"NA","NA","ASTERX","NA","NA","NA"
"Grevillea",2724,"NA","NA","NA","NA","NA","NA"
"Hakea",2725,"NA","NA","NA","NA","NA","NA"
"Haloragis",2726,"NA","NA","NA","NA","NA","NA"
"Hibbertia",2727,"NA","NA","NA","NA","NA","NA"
"Histiopteris",2728,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Hovea",2729,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Lomandra effusa-type",2730,"NA","NA","NA","NA","NA","NA"
"Lomandra longifolia-type",2731,"NA","NA","NA","NA","NA","NA"
"Xanthorrhoeaceae",2732,"NA","NA","NA","NA","NA","NA"
"Lomatia-type",2733,"NA","NA","NA","NA","NA","NA"
"Lycopodium fastigiatum-type",2734,"NA","NA","LYCOPODX","LYCOPODX","TRUE","NA"
"Montia-type",2735,"NA","NA","NA","NA","NA","NA"
"Myrtaceae (type 40)",2736,"NA","NA","NA","NA","NA","NA"
"Myrtaceae (type 41)",2737,"NA","NA","NA","NA","NA","NA"
"Myrtaceae (type 54)",2738,"NA","NA","NA","NA","NA","NA"
"Myrtaceae (type 55)",2739,"NA","NA","NA","NA","NA","NA"
"Myrtaceae (type 56a)",2740,"NA","NA","NA","NA","NA","NA"
"Orites",2741,"NA","NA","NA","NA","NA","NA"
"Pellaea cf. P. falcata",2742,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Phyllocladus",2743,"NA","NA","NA","NA","NA","NA"
"Pseudanthus",2744,"NA","Minor Forbs","NA","NA","NA","NA"
"Restionaceae",2745,"NA","NA","NA","NA","NA","NA"
"Staurophyra elegans",2746,"NA","NA","NA","NA","NA","NA"
"Stylidium",2747,"NA","NA","ASTERX","NA","NA","NA"
"Stylidiaceae",2748,"NA","NA","ASTERX","NA","NA","NA"
"Amperea",2749,"NA","Minor Forbs","NA","NA","NA","NA"
"Bursaria",2750,"NA","NA","NA","NA","NA","NA"
"Casuarina (<25 µm)",2751,"NA","NA","NA","NA","NA","NA"
"Casuarina undiff.",2752,"NA","NA","NA","NA","NA","NA"
"Centrolepidaceae/Restionaceae",2753,"NA","NA","NA","NA","NA","NA"
"Codonocarpus",2754,"NA","NA","NA","NA","NA","NA"
"Gyrostemonaceae",2755,"NA","NA","NA","NA","NA","NA"
"Coprosma",2756,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Dianella",2757,"NA","NA","NA","NA","NA","NA"
"Elaeocarpus",2758,"NA","NA","NA","NA","NA","NA"
"Euphrasia",2759,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Eucalyptus (type 1, granular)",2760,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 2, psilate)",2761,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 3, granular)",2762,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (type 4, granular)",2763,"NA","NA","NA","NA","NA","NA"
"Eucalyptus (psilate)",2764,"NA","NA","NA","NA","NA","NA"
"Gompholobium",2765,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Haloragodendron",2766,"NA","NA","NA","NA","NA","NA"
"Hedycarya",2767,"NA","NA","NA","NA","NA","NA"
"Monimiaceae",2768,"NA","NA","NA","NA","NA","NA"
"Hybanthus",2769,"NA","NA","NA","NA","NA","NA"
"Isotoma",2770,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Kunzea-type",2771,"NA","NA","NA","NA","NA","NA"
"Fabaceae herbs",2772,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Fabaceae shrubs",2773,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Leptospermum",2774,"NA","NA","NA","NA","NA","NA"
"Leucopogon-type",2775,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Lomandra",2776,"NA","NA","NA","NA","NA","NA"
"Melaleuca",2777,"NA","NA","NA","NA","NA","NA"
"Muehlenbeckia",2778,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Myrtaceae (syncolpate, psilate)",2779,"NA","NA","NA","NA","NA","NA"
"Neopaxia",2780,"NA","NA","NA","NA","NA","NA"
"Oreomyrrhis",2781,"NA","Minor Forbs","NA","NA","NA","NA"
"Other shrubs",2782,"NA","NA","NA","NA","NA","NA"
"Pimelea",2783,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Pittosporum",2784,"NA","NA","NA","NA","NA","NA"
"Plantago (type 1)",2785,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Pomaderris",2786,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Poranthera",2787,"NA","Minor Forbs","NA","NA","NA","NA"
"Pultenaea-type",2788,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Ricinocarpos",2789,"NA","Minor Forbs","NA","NA","NA","NA"
"Stackhousia",2790,"NA","NA","NA","NA","NA","NA"
"Tasmannia",2792,"NA","NA","NA","NA","NA","NA"
"Tieghemopanax",2793,"NA","NA","NA","NA","NA","NA"
"Triglochin/Sparganium",2794,"NA","NA","NA","NA","NA","NA"
"Veronica",2795,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Wahlenbergia",2796,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Centaurium",2797,"NA","NA","NA","NA","NA","NA"
"Lomandra filiformis",2798,"NA","NA","NA","NA","NA","NA"
"Lomandra glauca",2799,"NA","NA","NA","NA","NA","NA"
"Proteaceae undiff.",2800,"NA","NA","NA","NA","NA","NA"
"Sequoia",2801,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"cf. Asimina",2802,"NA","NA","NA","NA","NA","NA"
"Lycopodiaceae cf. Pseudolycopodiella caroliniana",2803,"NA","NA","NA","NA","NA","NA"
"Cnemidaria/Cyathea undiff.",2804,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Aciphylla",2805,"NA","Minor Forbs","NA","NA","NA","NA"
"Amyema",2806,"NA","NA","NA","NA","NA","NA"
"Angophora-type",2807,"NA","NA","NA","NA","NA","NA"
"Asteraceae subf. Asteroideae (type 1)",2808,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae subf. Asteroideae (type 2)",2809,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae subf. Asteroideae (type 3)",2810,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae subf. Asteroideae (type 4)",2811,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae subf. Asteroideae (type 5)",2812,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Atherosperma",2813,"NA","NA","NA","NA","NA","NA"
"Baltisphaeridium",2814,"NA","NA","NA","NA","NA","NA"
"Banksia marginata",2815,"NA","NA","NA","NA","NA","NA"
"Bossiaea",2816,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Algae undiff.",2817,"NA","NA","NA","NA","NA","NA"
"Botryococcus braunii",2818,"NA","NA","NA","NA","NA","NA"
"Callistemon",2819,"NA","NA","NA","NA","NA","NA"
"Amaranthaceae (<20 µm)",2820,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Amaranthaceae (>20 µm)",2821,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Correa",2822,"NA","NA","NA","NA","NA","NA"
"Culcita dubia",2823,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Daviesia",2824,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dichosciadium ranunculaceum",2825,"NA","Minor Forbs","NA","NA","NA","NA"
"Dichosciadium",2826,"NA","Minor Forbs","NA","NA","NA","NA"
"Echium plantagineum",2827,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Echium",2828,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Ericaceae tribe Epacrideae undiff.",2830,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Epacris serpyllifolia",2831,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Epacris",2832,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Eriostemon",2833,"NA","NA","NA","NA","NA","NA"
"Polypodiophyta (type 137)",2834,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Polypodiophyta (type 156)",2835,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gratiola",2836,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Hardenbergia",2837,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Hypolepis",2838,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Kunzea",2839,"NA","NA","NA","NA","NA","NA"
"Xanthorrhoeoideae subf. Asphodeloideae",2840,"NA","NA","NA","NA","NA","NA"
"Lycopodium fastigiatum",2841,"NA","Total Lycopodium","LYCOPODX","LYCOPODX","NA","NA"
"Monotoca",2842,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Myoporaceae sensu stricto",2843,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Myriophyllum pedunculatum",2844,"NA","NA","NA","NA","NA","NA"
"Parahebe",2845,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Pellaea falcata",2846,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Phebalium",2847,"NA","NA","NA","NA","NA","NA"
"Pinus radiata",2848,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Plantago muelleri-type",2849,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Poaceae (20-25 µm)",2850,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Poaceae (25-30 µm)",2851,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Poaceae (30-35 µm)",2852,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Poaceae (>35 µm)",2853,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"cf. Goodeniaceae",2854,"NA","NA","NA","NA","NA","NA"
"Poaceae (<20 µm)",2855,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Podocarpus lawrencei",2856,"NA","NA","NA","NA","NA","NA"
"Prostanthera",2857,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Schizeilema fragosea",2858,"NA","Minor Forbs","NA","NA","NA","NA"
"Schizeilema",2859,"NA","Minor Forbs","NA","NA","NA","NA"
"Tetratheca",2860,"NA","NA","NA","NA","NA","NA"
"Agathis",2863,"NA","NA","NA","NA","NA","NA"
"Urticaceae/Moraceae",2864,"NA","NA","URTICACX","URTICACX","NA","NA"
"Casuarinaceae",2865,"NA","NA","NA","NA","NA","NA"
"Eucalyptus-type",2866,"NA","NA","NA","NA","NA","NA"
"cf. Phyllocladus",2867,"NA","NA","NA","NA","NA","NA"
"Asteraceae subf. Asteroideae cf. Ewartia",2868,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Dry forest trees and shrubs",2869,"NA","NA","NA","NA","NA","NA"
"Disturbance indicators",2870,"NA","NA","NA","NA","NA","NA"
"Polypodiophyta (epiphytic)",2871,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Aquatics",2872,"NA","NA","NA","NA","NA","NA"
"Lowland forest trees undiff.",2873,"NA","NA","NA","NA","NA","NA"
"Montane forest trees undiff.",2874,"NA","NA","NA","NA","NA","NA"
"Leptospermum/Callistemon",2875,"NA","NA","NA","NA","NA","NA"
"Leptospermum/Callistemon undiff.",2876,"NA","NA","NA","NA","NA","NA"
"Asteraceae (spineless)",2877,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Leucopogon",2878,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Plantago (introduced)",2879,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago (naturalized)",2880,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Prunella vulgaris",2881,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"cf. Samolus",2882,"NA","NA","NA","NA","NA","NA"
"Urtica incisa",2883,"NA","NA","URTICACX","URTICACX","NA","NA"
"Cyperaceae (type 1)",2884,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Cyperaceae (type 2)",2885,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Myriophyllum (type A)",2886,"NA","NA","NA","NA","NA","NA"
"Myriophyllum (type B)",2887,"NA","NA","NA","NA","NA","NA"
"Microsorum",2888,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"cf. Gleichenia",2889,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Betula/Corylus/Myrica",2890,"NA","NA","NA","NA","NA","NA"
"Polygonum oxyspermum subsp. raii",2892,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Ranunculus acris",2893,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Stachys",2894,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Valerianella",2895,"NA","NA","NA","NA","NA","NA"
"Valeriana/Valerianella",2896,"NA","NA","NA","NA","NA","NA"
"Calluna vulgaris",2897,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Cannabaceae-type",2899,"NA","NA","URTICACX","URTICACX","NA","NA"
"Drosera rotundifolia",2901,"NA","NA","NA","NA","NA","NA"
"Drosera intermedia",2902,"NA","NA","NA","NA","NA","NA"
"Erica",2903,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Lotus",2904,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Plantago major/P. media",2905,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Scleranthus perennis",2906,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Scleranthus",2907,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Scleranthus-type",2908,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Stellaria holostea",2909,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Succisa",2910,"NA","NA","NA","NA","NA","NA"
"Symphytum",2911,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Symphytum-type",2912,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Trifolium repens",2913,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Astragalus alpinus",2914,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Astragalus alpinus-type",2915,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"cf. Lotus",2916,"NA","NA","NA","NA","NA","NA"
"Pinus subg. Strobus undiff.",2917,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Cirsium-type",2918,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Elatine",2919,"NA","NA","NA","NA","NA","NA"
"Elatine-type",2920,"NA","NA","NA","NA","NA","NA"
"Elatinaceae",2921,"NA","NA","NA","NA","NA","NA"
"Saxifraga aizoides",2923,"NA","NA","NA","NA","NA","NA"
"Magnoliopsida undiff.",2924,"NA","NA","MAGNOLIACE","MAGNOLIACE","NA","NA"
"Frangula",2925,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Isoëtes (type A)",2926,"NA","NA","NA","NA","NA","NA"
"Mercurialis",2927,"NA","Minor Forbs","NA","NA","NA","NA"
"Prunella",2928,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Quercus ilex-type",2929,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Rhinanthus",2930,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Rhinanthus-type",2931,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Spergula",2932,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Spergula arvensis",2933,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Spergula-type",2934,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Spergularia-type",2935,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Spergularia",2936,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Spergula arvensis-type",2937,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Vicia",2938,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Armeria (type A)",2939,"NA","NA","ARMERIA","ARMERIA","NA","NA"
"Armeria (type B)",2940,"NA","NA","ARMERIA","ARMERIA","NA","NA"
"Cerealia-type undiff.",2941,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Isoëtes undiff.",2942,"NA","NA","NA","NA","NA","NA"
"Quercus undiff.",2943,"Quercus","Quercus","QUERCUS","QUERCUS","NA","NA"
"Caltha palustris",2944,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Fragaria",2945,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Brassicaceae-type undiff.",2947,"NA","NA","NA","NA","NA","NA"
"Brassicaceae-type",2948,"NA","NA","NA","NA","TRUE","NA"
"Pediastrum integrum",2949,"NA","NA","NA","NA","NA","NA"
"Pediastrum longicornes",2950,"NA","NA","NA","NA","NA","NA"
"Cercocarpus/Cowania",2951,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Physocarpus monogynus",2952,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Physocarpus",2953,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Pinus ponderosa-type",2954,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus aristata-type",2955,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Astragalus/Lupinus",2956,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Ribes aureum",2957,"NA","NA","NA","NA","NA","NA"
"Plantago/Thalictrum",2958,"NA","NA","NA","NA","NA","NA"
"Pinus ponderosa",2959,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus flexilis",2960,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Pinus aristata",2961,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Cowania-type",2962,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Indeterminable (triporate)",2963,"NA","NA","NA","NA","NA","NA"
"Unknown/Indeterminable undiff.",2964,"NA","NA","NA","NA","NA","NA"
"Chrysolepis-type",2965,"NA","NA","NA","NA","TRUE","NA"
"Shepherdia canadensis-type",2966,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"cf. Collinsia",2967,"NA","NA","NA","NA","NA","NA"
"Eriogonum-type",2968,"NA","NA","NA","NA","TRUE","NA"
"Garrya-type",2969,"NA","NA","NA","NA","NA","NA"
"Boraginaceae subf. Hydrophylloideae-type",2970,"NA","NA","NA","NA","NA","NA"
"Valerianella-type",2971,"NA","NA","NA","NA","NA","NA"
"Alsophila",2974,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Dicksonia-type",2975,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Lindsaea",2976,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pediastrum/Botryococcus",2977,"NA","NA","NA","NA","NA","NA"
"Vallea",2978,"NA","NA","NA","NA","NA","NA"
"Kochia spike",2980,"NA","NA","NA","NA","NA","NA"
"Lycopodiaceae (rugulate)",2981,"NA","NA","NA","NA","NA","NA"
"Unknown (type 1)",2983,"NA","NA","NA","NA","NA","NA"
"Unknown (type 2)",2984,"NA","NA","NA","NA","NA","NA"
"Unknown (type 4)",2985,"NA","NA","NA","NA","NA","NA"
"Unknown (type 5)",2986,"NA","NA","NA","NA","NA","NA"
"Unknown (type 6)",2987,"NA","NA","NA","NA","NA","NA"
"Unknown (type 7)",2988,"NA","NA","NA","NA","NA","NA"
"Unknown (type 8)",2989,"NA","NA","NA","NA","NA","NA"
"Unknown (type 9)",2990,"NA","NA","NA","NA","NA","NA"
"Unknown (type 10)",2991,"NA","NA","NA","NA","NA","NA"
"Unknown (type 11)",2992,"NA","NA","NA","NA","NA","NA"
"Unknown (type 12)",2993,"NA","NA","NA","NA","NA","NA"
"Unknown (type 13)",2994,"NA","NA","NA","NA","NA","NA"
"Unknown (type 14)",2995,"NA","NA","NA","NA","NA","NA"
"Unknown (type 15)",2996,"NA","NA","NA","NA","NA","NA"
"Unknown (type 16)",2997,"NA","NA","NA","NA","NA","NA"
"Unknown (type 17)",2998,"NA","NA","NA","NA","NA","NA"
"Opaque mineral grains",2999,"NA","NA","NA","NA","NA","NA"
